,dates,NA1,NA2,NA3,NA4,NA5
0,1987-05-22 23:07:44+00:00,89.07892413909407,56.38586832987428,62.337758339789154,34.330617714484724,74.4340689096109
1,1987-09-11 23:10:29+00:00,96.78867579040563,85.14214573779476,88.68863223348244,37.72104527634989,69.12141653382795
2,1987-09-27 23:10:51+00:00,108.79430364567895,100.16242861399986,106.12963454873902,39.04995278354664,63.495779090621916
3,1987-11-14 23:11:47+00:00,,,79.3045377780377,19.117641180409013,48.93189660098385
4,1988-02-18 23:13:23+00:00,98.38017786151416,73.25911096889561,78.31504002372527,9.792369071203598,60.442252982784346
5,1988-05-08 23:14:02+00:00,90.67502103501772,69.12906247647965,50.1144108947063,,49.28896106468336
6,1988-06-09 23:14:15+00:00,91.19614344298068,60.7905418707437,60.35823396334562,28.627366755848506,55.768148841417684
7,1988-06-25 23:14:20+00:00,99.23743745811163,61.4244474643475,69.71747096077958,28.633525875251802,59.911640146212434
8,1988-07-27 23:14:26+00:00,78.42800155489067,66.18056024855358,63.21396753083665,20.72789033283589,57.493320401627685
9,1988-08-12 23:14:25+00:00,77.88538010492401,63.45310589660104,66.71019111836088,18.03270141331194,47.381504270000804
10,1988-08-28 23:14:30+00:00,87.61522658236355,69.50564805152108,65.8726489884112,24.92455914223018,46.03161748912854
11,1988-09-29 23:14:21+00:00,82.79804385473321,66.02796544688992,64.00485378106451,30.61869299136101,45.58625962025229
12,1988-10-15 23:14:16+00:00,87.2740044698157,63.6149516896238,64.74392455820569,30.429869708106082,46.73541662861068
13,1989-01-19 23:13:42+00:00,86.6314446024092,72.78004751502525,65.62924783134409,31.20420004538283,49.09451666939733
14,1989-02-20 23:13:39+00:00,70.78997566314132,44.19122309507814,45.00961008684462,31.535383427480333,49.36795144286933
15,1989-03-08 23:13:15+00:00,84.59143769114493,65.31456178497235,61.12149564356044,39.85435028956158,55.89767443245233
16,1989-04-09 23:12:51+00:00,,,,,
17,1989-06-12 23:11:41+00:00,66.99721490731666,57.7351703011201,68.28274238650049,41.405256059353306,73.46781049264021
18,1989-06-28 23:11:25+00:00,61.50381296433285,48.39297115911714,64.83051698556487,37.3315112310287,61.88717580618919
19,1989-07-30 23:10:47+00:00,70.35808175563413,52.125957808157885,60.143540453173124,50.119951159121854,73.69303872734166
20,1989-08-15 23:10:23+00:00,75.52543772947273,43.49960569383513,57.5619202534426,37.479162351478216,64.14108593465183
21,1989-09-16 23:09:32+00:00,80.02816889605151,63.36212058973086,68.29192296320524,48.27014473687829,71.3542487255627
22,1989-10-02 23:09:23+00:00,80.70480824744203,50.307494207640424,50.279787022674974,41.671028290671124,66.6400332063601
23,1989-10-18 23:08:40+00:00,76.29982189282913,49.68255576953767,67.43588070389205,33.98077746580568,58.97326846750449
24,1989-11-19 23:07:42+00:00,84.76191764052686,55.55408558623103,66.0340788442179,45.919165234611185,75.44697712296765
25,1990-04-12 23:03:54+00:00,98.9511159669323,72.15975142157848,73.64244604940804,48.16483325265097,83.89700997327522
26,1990-07-01 23:03:52+00:00,96.39800656469825,80.11266764488818,93.69926792948861,53.957440131240254,87.91590708412582
27,1990-09-03 23:03:33+00:00,70.90974402148146,45.11735296205058,46.373004115684786,27.480727835145593,63.06126866647695
28,1990-09-19 23:03:30+00:00,88.29861905728842,61.78393013612929,58.727652991871125,32.5477501548842,63.02964706511298
29,1991-01-09 23:03:46+00:00,83.88099374624866,62.01527973993619,59.606631903492655,34.195393466278226,70.68087368602264
30,1991-03-14 23:05:04+00:00,82.28161205161754,63.864001228010096,69.65049477609388,39.065535054151795,69.19479364066424
31,1991-04-15 23:05:39+00:00,93.74395228833576,62.87901680745521,76.57328892744148,42.6103627049191,81.79254787600549
32,1991-05-17 23:06:10+00:00,89.76870049761602,60.651526521721586,86.08162465868055,33.7129885037632,63.77266314064256
33,1991-07-20 23:07:07+00:00,81.19440217571044,71.18679812987655,78.01769387647859,27.107814240952216,60.35042103197049
34,1991-08-05 23:07:13+00:00,100.74439697006844,87.24871755742633,88.36022871548296,30.878263764972942,62.98656932158447
35,1991-08-21 23:07:18+00:00,96.18928552301465,82.28963683463164,82.46774939180351,34.82771419307464,54.03400876320864
36,1991-09-06 23:07:32+00:00,,,97.0999727105709,37.81745456818362,62.32744929407227
37,1991-09-22 23:07:40+00:00,98.5053126839075,87.30983732562538,89.55453474180368,32.903703040239805,55.08086177738634
38,1991-10-08 23:07:46+00:00,108.64215489053316,94.3909624815933,93.85422208136016,42.63889862791896,60.34793007976667
39,1991-10-24 23:07:49+00:00,117.35715489063438,84.79220575780266,93.34960520623804,28.84595084339592,48.38191364286962
40,1991-10-24 23:08:13+00:00,,,,,50.388394814514754
41,1991-11-09 23:07:55+00:00,112.30237938278373,92.0270564972173,97.61933901623827,39.783274439444384,58.7781014447257
42,1992-01-12 23:07:58+00:00,104.12852771931863,78.10178132653274,91.40261430124694,32.117673378507845,53.49037268157455
43,1992-05-03 23:07:30+00:00,104.72830061498617,78.46514996480703,85.89501357785727,41.00313506067777,73.5738092223447
44,1992-06-04 23:07:13+00:00,105.85401100742692,78.55602540200844,86.4794624026542,37.55174987852871,59.4349485901297
45,1992-06-20 23:07:00+00:00,,,,,
46,1992-07-06 23:06:49+00:00,104.21796800966042,71.23025869892896,87.35870813480201,27.22046632898855,59.53295311101845
47,1992-07-22 23:06:36+00:00,108.69611295004134,70.88310754817115,90.19356913622583,33.86503109497711,62.74015545795484
48,1992-09-24 23:05:37+00:00,122.71569091150378,75.14887304057845,88.62843473777059,26.400223358222114,52.557944864512535
