,dates,Transect 1,Transect 2,Transect 3
0,2016-01-01 00:09:15+00:00,258.34263996888086,239.46044298035173,352.33225982138276
1,2016-01-17 23:59:15+00:00,268.8758794091693,240.94677953343484,388.436751896883
2,2016-01-30 23:43:46+00:00,262.65898557521484,244.80481209873525,376.21110911742335
3,2016-01-30 23:44:10+00:00,262.73898005616894,245.7983390228132,379.2767539228321
4,2016-01-31 00:02:38+00:00,253.21068873546676,233.8571043248873,363.5818472508299
5,2016-02-07 23:45:34+00:00,252.48403341571088,235.93314355307666,363.9974032683673
6,2016-03-18 23:43:31+00:00,266.35056699404896,249.7519011919586,391.893986540453
7,2016-03-18 23:43:54+00:00,266.8399231829905,249.75818534993533,391.5866335921689
8,2016-05-05 23:43:19+00:00,258.13451206287516,257.4859314389503,375.4527105469343
9,2016-05-05 23:43:43+00:00,259.39868901710906,258.1874860371522,375.6313129933362
10,2016-05-06 23:53:30+00:00,252.756819569373,254.29439764791948,385.081678425884
